Ensamblador,Muestra,Num_Genes
SPAdes,SRR34971513,752624
SPAdes,SRR34971512,694493
SPAdes,SRR34971508,545215
SPAdes,SRR34971509,526213
SPAdes,SRR34971511,1551152
SPAdes,SRR34971514,569655
SPAdes,SRR34971516,1690227
SPAdes,SRR34971515,617312
SPAdes,SRR34971510,691628
MEGAHIT,SRR34971508,570989
MEGAHIT,SRR34971513,531776
MEGAHIT,SRR34971509,554964
MEGAHIT,SRR34971511,1044253
MEGAHIT,SRR34971516,1231173
MEGAHIT,SRR34971515,708811
MEGAHIT,SRR34971510,723293
MEGAHIT,SRR34971512,481148
MEGAHIT,SRR34971514,517468
